"id","frame","x [nm]","y [nm]","intensity [photon]","uncertainty_xy [nm]"
214,23,5943.31,48730.1,8165.23,3.21605
215,41,22419.3,820.891,6013.68,4.14459
216,41,6765.25,1100.15,5317.96,4.60266
217,41,36668.8,2237.55,3381.1,6.85743
218,41,33310.9,2420.54,3863.28,6.08646
219,41,9694.92,3531.56,2934.89,7.79514
220,41,38050.3,4226.91,4395.95,5.4302
221,41,43873.1,5435.97,3594.05,6.49159
222,41,32341.5,5483.84,4185.9,5.66919
223,41,12353.7,6865.16,3119.41,7.37501
224,41,7697.82,7516.01,11180.2,2.50662
225,41,31456.1,9310.9,4264.81,5.57667
226,41,2130.34,9400.38,3634.67,6.42665
227,41,15398.8,10957.6,2500.86,9.02667
228,41,2199.07,13502.6,3299.28,7.01047
229,41,15826.2,13991.3,2576.88,8.78114
230,41,13762.5,14276.6,3916.67,6.0127
231,41,10603.6,16432.3,5659.15,4.36413
232,41,5803.82,17121.8,3063.12,7.49782
233,41,23705.4,17769.6,4175.46,5.6817
234,41,8488.02,18375.5,2019.26,11.0105
235,41,18380.8,18602.4,1856.79,11.9112
236,41,1280.01,19009.4,7450.95,3.46588
237,41,22424.5,21224.6,1755.25,12.5586
238,41,42488.9,21643.9,2752.69,8.26501
239,41,39913.3,22025.7,5883.12,4.2224
240,41,49315.7,25218,2856.56,7.98984
241,41,37482.2,26898.1,4876.4,4.96033
242,41,47436.2,27202.6,3476.84,6.68744
243,41,45471.1,27405.2,3349.19,6.91624
244,41,25032.6,27981.5,3157.7,7.29393
245,41,29530.5,29502.7,2527.56,8.93878
246,41,21012.7,29912.6,1309.04,16.592
247,41,32368.8,32495.3,5246.59,4.65644
248,41,3385.44,33800.5,3320.75,6.96958
249,41,35465.8,34090.1,2079.02,10.7145
250,41,24788.7,34728.3,3102.58,7.41126
251,41,43848.7,34969.4,2538.58,8.90301
252,41,23506.6,34910.7,5035.96,4.82392
253,41,48321.2,35055.7,3049.78,7.5276
254,41,46944.1,35268.2,4341.41,5.49005
255,41,2618.46,36086,3633.51,6.42849
256,41,1755.34,37300.7,1643.84,13.3609
257,41,4991.27,37604.2,3305.09,6.99937
258,41,5849.05,40408.6,3997.32,5.90498
259,41,3753.1,42352.3,3685.73,6.34703
260,41,49602,42338,3007.42,7.62387
261,41,5866.09,44462.3,3436.22,6.75841
262,41,35677.9,45163.3,3346.86,6.92056
263,41,4083.39,45428.9,4054.19,5.83159
264,41,27265.5,45659.9,2146.33,10.4008
265,41,40446.3,46163.2,1933.96,11.4645
266,41,28264.8,47198.7,3520.36,6.61321
267,41,5963.79,48734.8,7784.59,3.3436
268,42,22422.2,818.977,5929.54,4.19435
269,42,6757.39,1107.88,5412.54,4.53356
270,42,36699,2227.73,3290,7.02831
271,42,33331.6,2473.51,3752.46,6.24623
272,42,9725.61,3479.02,2906.46,7.8646
273,42,38057.3,4229.85,4370.42,5.45803
274,42,43910.3,5416.99,3700.81,6.32393
275,42,32340.8,5492.13,4062.31,5.82127
276,42,12347.5,6862.44,3232.56,7.14099
277,42,7707.51,7527.93,11667,2.42556
278,42,31462.4,9311.41,3970.63,5.94015
279,42,2099.34,9374.5,3648.59,6.40472
280,42,15427.6,10972.4,2626.78,8.62765
281,42,2197.36,13532.1,3197.16,7.21242
282,42,15851.2,13996.2,2521.17,8.95963
283,42,13749.8,14293.3,4225.94,5.62182
284,42,10596.3,16422.3,5557.02,4.43249
285,42,5787.04,17127.6,2953.46,7.7505
286,42,23734.9,17746.4,4006.02,5.89361
287,42,8510.79,18405.4,2021.58,10.9986
288,42,18402.5,18626.8,1921.2,11.5359
289,42,1256.24,18988.3,7337.8,3.50982
290,42,22407.6,21247.4,1669.95,13.1632
291,42,42470.3,21655.3,2867.58,7.9618
292,42,39870,21970.9,5909.23,4.20657
293,42,49344.5,25210.6,2873.38,7.94712
294,42,37505.9,26905.6,4731.33,5.09223
295,42,47444.8,27206.4,3790.75,6.18997
296,42,45476.9,27402.4,3443.19,6.74612
297,42,25031.3,27987.6,3050.94,7.525
298,42,29575,29561.3,2602.99,8.70009
299,42,20993.1,29877.3,1336.31,16.2683
300,42,32366.4,32472.2,4965.75,4.88287
301,42,3366.72,33815.7,3252.86,7.1007
302,42,35468.8,34034.6,2194.49,10.1882
303,42,24804.9,34721,2997.56,7.64668
304,42,43859.8,34962.5,2480.56,9.09481
305,42,23501.3,34892.6,5058.59,4.80526
306,42,48329.8,35030.7,3045.14,7.53802
307,42,46897.2,35253,4366.94,5.46185
308,42,2692.65,36080.7,3703.14,6.32039
309,42,1773.72,37364.1,1609.6,13.6296
310,42,4976.44,37642.2,3280.72,7.04626
311,42,5892.25,40398.4,3876.63,6.06783
312,42,3748.28,42327.4,3751.88,6.24709
313,42,49626,42357.4,2963.32,7.72701
314,42,5847.05,44404,3288.26,7.03167
315,42,35673.1,45168.7,3309.73,6.99051
316,42,4058.46,45422.5,4132.52,5.73377
317,42,27261.6,45643.3,2034.93,10.9312
318,42,40444.3,46157.3,1798.77,12.2722
319,42,28280.7,47222.4,3241.84,7.12251
320,42,5955.89,48726.6,8060.79,3.24988
321,43,22416.8,822.23,6275.95,3.99794
322,43,6771.82,1120.65,5346.4,4.58164
323,43,36684.2,2225.98,3369.49,6.87869
324,43,33287.2,2458.16,3703.14,6.32039
325,43,9688.61,3492.1,2880.35,7.92959
326,43,38058.6,4224.9,4564.22,5.25448
327,43,43885.3,5420.09,3886.49,6.05414
328,43,32351,5496.08,4024.59,5.86952
329,43,12361.3,6891.26,3107.22,7.40122
330,43,7718.66,7535.45,11273,2.49064
