"id","frame","x [nm]","y [nm]","intensity [photon]","uncertainty_xy [nm]"
267,42,2041.07,8971.46,2515.95,8.97677
268,42,15342.7,10571.1,2915.16,7.8432
269,42,2208.18,13078.2,2776.48,8.20017
270,42,15769.4,13547.1,2715.56,8.36848
271,42,13768.4,13840.5,3180.33,7.24694
272,42,10634.9,16032.3,3608.56,6.46823
273,42,5751.02,16667.3,2928.51,7.81062
274,42,23723.1,17310.4,4537.53,5.28149
275,42,8476.84,17955.1,2436.46,9.24667
276,42,18341.6,18228.4,2227.57,10.0474
277,42,1279.11,18621.1,5933.6,4.19191
278,42,22377,20816.1,1733.2,12.7092
279,42,42503.9,21264.1,2645.93,8.57028
280,42,39853.4,21540.1,4546.23,5.27265
281,42,49290.8,24768.5,2943.59,7.77415
282,42,37456.4,26479.6,4209.69,5.64094
283,42,47484.2,26820.6,3099.1,7.41881
284,42,45517.7,27008.8,3097.36,7.42259
285,42,25002.4,27588.3,3191.94,7.2231
286,42,29473.1,29049.4,2385.4,9.4295
287,42,20954.3,29496,1613.09,13.6018
288,42,32302.8,32033.4,3621.9,6.44691
289,42,3308.14,33432.3,3329.46,6.95316
290,42,35512.1,33720.4,1676.33,13.1159
291,42,24796.7,34378.5,3148.42,7.31341
292,42,43808.2,34573.1,2240.33,9.99422
293,42,23451.9,34514.6,4243.35,5.6015
294,42,48307.4,34629.7,2913.42,7.84747
295,42,46931.5,34808.7,4835.78,4.99647
296,42,2640.85,35734.9,2779.96,8.19077
297,42,1681.54,36914.2,1510.96,14.4721
298,42,4905.41,37254.7,2795.63,8.14878
299,42,5847.68,40042,2902.4,7.87464
300,42,3648.43,41912.4,3271.43,7.0643
301,42,5853.33,44041.4,2289.07,9.79651
302,42,35656.2,44815.5,2315.19,9.69401
303,42,3984.49,44971.1,2649.99,8.55822
304,42,27244.8,45269.4,1863.75,11.8694
305,42,40476.8,45807.8,1400.72,15.5539
306,42,28248.7,46778.9,1497.62,14.5946
307,42,5882.5,48314.9,5259.36,4.64671
308,43,6678.35,701.852,3887.65,6.05254
309,43,36677.9,1842.39,3008.58,7.6212
310,43,33328.6,2020.16,3580.7,6.51325
311,43,9672.35,3109.61,2805.49,8.12258
312,43,38065.3,3860.23,3677.02,6.36045
313,43,43904.2,5012.13,3394.44,6.83316
314,43,32306.1,5008.06,3634.67,6.42665
315,43,12357.2,6424.11,2902.98,7.8732
316,43,7751.4,7088.61,8401.98,3.14243
317,43,31471.9,8898.13,2863.52,7.9721
318,43,2043.75,8947.51,2599.51,8.71081
319,43,15387.7,10601,2924.44,7.8205
320,43,2213.75,13097.4,2785.19,8.17672
321,43,15777.9,13555,2849.01,8.00915
322,43,13789.9,13861.6,3258.09,7.09042
323,43,10624,16032.9,3711.84,6.30716
324,43,5746.08,16656.7,2801.43,8.13335
325,43,23721.1,17305.3,4418.58,5.40579
326,43,8477.23,17959.1,2361.6,9.51737
327,43,18345.6,18224.9,2354.06,9.5456
328,43,1215.85,18624.9,6335.14,3.9665
329,43,22351.5,20834.9,1624.11,13.5144
330,43,42495.2,21254.5,2705.11,8.39809
331,43,39856.5,21526.3,4651.84,5.16797
332,43,49276.2,24805.4,2871.64,7.95152
333,43,37448.1,26484.7,4405.81,5.41953
334,43,47485.8,26814.8,3042.81,7.54325
335,43,45543.5,26999,3155.96,7.29758
336,43,25038.1,27586.4,3086.91,7.44537
337,43,29472.2,29061,2371.47,9.48072
338,43,20906.8,29463.2,1557.38,14.0624
339,43,32288,32026.1,3810.48,6.16143
340,43,3295.15,33450.8,3395.6,6.83106
341,43,35563.5,33705.4,1620.63,13.5418
342,43,24781.4,34347.1,3437.96,6.75533
343,43,43816.4,34592.1,2263.54,9.89902
344,43,23460.4,34515.6,4473.7,5.34737
345,43,48296.5,34624.5,3161.19,7.28666
346,43,46915.5,34803.5,4924.56,4.91823
347,43,2651.71,35720.8,2862.36,7.97505
348,43,1719.33,36928.7,1512.7,14.4563
349,43,4904.81,37236.5,2807.81,8.11644
350,43,5869.37,40030.1,2789.25,8.16583
351,43,3662.34,41916.2,3399.67,6.82372
352,43,5875.35,44062,2185.79,10.2259
353,43,35677,44819.2,2460.25,9.16407
354,43,3976.21,44956.6,3133.91,7.34407
355,43,27242.3,45220.6,1868.4,11.8417
356,43,40459.5,45781.5,1346.75,16.1478
357,43,28241.1,46759.5,1546.36,14.1574
358,43,5879.57,48338.7,5360.32,4.57142
359,44,6646.55,708.418,3966.57,5.94554
360,44,36678,1829.2,3005.68,7.62789
361,44,33350.5,2022.98,3433.32,6.76354
