Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
,,7.95496,14778.849
,,7.96396,14757.406
,,7.97297,14736.219
,,7.98198,14715.285
,,7.99099,14694.602
,,8.00000,14674.167
,,8.00901,14653.979
,,8.01802,14634.037
,,8.02703,14614.335
,,8.03604,14594.873
,,8.04504,14575.651
,,8.05405,14556.663
,,8.06306,14537.910
,,8.07207,14519.387
,,8.08108,14501.093
,,8.09009,14483.027
,,8.09910,14465.185
,,8.10811,14447.565
,,8.11712,14430.168
,,8.12613,14412.987
,,8.13513,14396.024
,,8.14414,14379.275
,,8.15315,14362.737
,,8.16216,14346.412
,,8.17117,14330.293
,,8.18018,14314.380
,,8.18919,14298.672
,,8.19820,14283.165
,,8.20721,14267.858
,,8.21622,14252.751
,,8.22523,14237.838
,,8.23423,14223.120
,,8.24324,14208.593
,,8.25225,14194.256
,,8.26126,14180.109
,,8.27027,14166.146
,,8.27928,14152.368
,,8.28829,14138.773
,,8.29730,14125.357
,,8.30631,14112.122
,,8.31532,14099.062
,,8.32432,14086.176
,,8.33333,14073.465
,,8.34234,14060.923
,,8.35135,14048.551
,,8.36036,14036.347
,,8.36937,14024.308
,,8.37838,14012.434
,,8.38739,14000.720
,,8.39640,13989.166
,,8.40541,13977.772
,,8.41441,13966.534
,,8.42342,13955.451
,,8.43243,13944.522
,,8.44144,13933.744
,,8.45045,13923.115
,,8.45946,13912.636
,,8.46847,13902.302
,,8.47748,13892.113
,,8.48649,13882.067
,,8.49550,13872.163
,,8.50450,13862.399
,,8.51351,13852.772
,,8.52252,13843.283
,,8.53153,13833.930
,,8.54054,13824.708
,,8.54955,13815.619
,,8.55856,13806.660
,,8.56757,13797.830
,,8.57658,13789.128
,,8.58559,13780.551
,,8.59459,13772.099
,,8.60360,13763.769
,,8.61261,13755.561
,,8.62162,13747.472
,,8.63063,13739.502
,,8.63964,13731.647
,,8.64865,13723.910
,,8.65766,13716.286
,,8.66667,13708.775
,,8.67568,13701.376
,,8.68468,13694.086
,,8.69369,13686.904
,,8.70270,13679.830
,,8.71171,13672.862
,,8.72072,13665.999
,,8.72973,13659.237
,,8.73874,13652.579
,,8.74775,13646.021
,,8.75676,13639.562
,,8.76577,13633.201
,,8.77477,13626.938
,,8.78378,13620.770
,,8.79279,13614.695
,,8.80180,13608.714
,,8.81081,13602.825
,,8.81982,13597.027
,,8.82883,13591.317
,,8.83784,13585.697
,,8.84685,13580.164
,,8.85586,13574.717
,,8.86487,13569.354
,,8.87387,13564.075
,,8.88288,13558.879
,,8.89189,13553.765
,,8.90090,13548.729
,,8.90991,13543.774
,,8.91892,13538.898
,,8.92793,13534.099
,,8.93694,13529.375
,,8.94595,13524.728
,,8.95496,13520.153
,,8.96396,13515.652
,,8.97297,13511.224
,,8.98198,13506.865
,,8.99099,13502.578
,,9.00000,13498.359
