Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
,,2.46647,43598.555
,,2.47347,43668.090
,,2.48048,43737.195
,,2.48749,43805.867
,,2.49449,43874.102
,,2.50150,43941.898
,,2.50851,44009.246
,,2.51552,44076.148
,,2.52252,44142.598
,,2.52953,44208.594
,,2.53654,44274.129
,,2.54354,44339.203
,,2.55055,44403.812
,,2.55756,44467.949
,,2.56456,44531.613
,,2.57157,44594.801
,,2.57858,44657.504
,,2.58559,44719.727
,,2.59259,44781.461
,,2.59960,44842.703
,,2.60661,44903.453
,,2.61361,44963.703
,,2.62062,45023.457
,,2.62763,45082.699
,,2.63463,45141.438
,,2.64164,45199.664
,,2.64865,45257.375
,,2.65566,45314.566
,,2.66266,45371.242
,,2.66967,45427.387
,,2.67668,45483.008
,,2.68368,45538.098
,,2.69069,45592.656
,,2.69770,45646.672
,,2.70470,45700.152
,,2.71171,45753.090
,,2.71872,45805.480
,,2.72573,45857.316
,,2.73273,45908.609
,,2.73974,45959.340
,,2.74675,46009.516
,,2.75375,46059.129
,,2.76076,46108.180
,,2.76777,46156.664
,,2.77477,46204.578
,,2.78178,46251.922
,,2.78879,46298.691
,,2.79580,46344.879
,,2.80280,46390.488
,,2.80981,46435.516
,,2.81682,46479.957
,,2.82382,46523.809
,,2.83083,46567.070
,,2.83784,46609.742
,,2.84484,46651.812
,,2.85185,46693.289
,,2.85886,46734.164
,,2.86587,46774.434
,,2.87287,46814.102
,,2.87988,46853.160
,,2.88689,46891.605
,,2.89389,46929.441
,,2.90090,46966.664
,,2.90791,47003.270
,,2.91491,47039.254
,,2.92192,47074.617
,,2.92893,47109.359
,,2.93594,47143.477
,,2.94294,47176.965
,,2.94995,47209.828
,,2.95696,47242.055
,,2.96396,47273.652
,,2.97097,47304.613
,,2.97798,47334.941
,,2.98498,47364.625
,,2.99199,47393.672
,,2.99900,47422.074
,,3.00601,47449.836
,,3.01301,47476.953
,,3.02002,47503.422
,,3.02703,47529.242
,,3.03403,47554.410
,,3.04104,47578.930
,,3.04805,47602.797
,,3.05506,47626.008
,,3.06206,47648.562
,,3.06907,47670.461
,,3.07608,47691.699
,,3.08308,47712.281
,,3.09009,47732.199
,,3.09710,47751.457
,,3.10410,47770.051
,,3.11111,47787.980
,,3.11812,47805.242
,,3.12513,47821.840
,,3.13213,47837.770
,,3.13914,47853.031
,,3.14615,47867.625
,,3.15315,47881.547
,,3.16016,47894.797
,,3.16717,47907.379
,,3.17417,47919.285
,,3.18118,47930.516
,,3.18819,47941.074
,,3.19520,47950.961
,,3.20220,47960.168
,,3.20921,47968.703
,,3.21622,47976.559
,,3.22322,47983.742
,,3.23023,47990.242
,,3.23724,47996.070
,,3.24424,48001.219
,,3.25125,48005.688
,,3.25826,48009.477
,,3.26527,48012.590
,,3.27227,48015.023
,,3.27928,48016.777
,,3.28629,48017.852
,,3.29329,48018.246
,,3.30030,48017.965
,,3.30731,48017.000
,,3.31431,48015.359
,,3.32132,48013.039
,,3.32833,48010.039
,,3.33534,48006.359
,,3.34234,48002.000
,,3.34935,47996.965
,,3.35636,47991.254
,,3.36336,47984.859
,,3.37037,47977.793
,,3.37738,47970.047
,,3.38438,47961.625
,,3.39139,47952.527
,,3.39840,47942.754
,,3.40541,47932.305
